CHAPEDES  7000  7999     1    2017_11_18
   59    6    0   403.42    2.09
   60    6    0   399.43    2.11
   61    6    0   401.54    2.23
   62    6    0   400.81    2.22
   63    6    0   401.80    2.12
   64    6    0   399.74    2.05
   65    6    0   400.22    2.08
   66    6    0   399.81    2.48
   67    6    0   402.09    2.13
   68    6    0   399.96    2.05
   69    6    0   398.53    2.06
   70    6    0   403.77    2.12
   71    6    0   403.57    2.18
   72    6    0   398.40    2.16
   73    6    0   400.41    2.07
   74    6    0   400.26    2.76
   75    6    0   397.06    3.06
   76    6    0   402.46    2.35
   77    6    0   400.83    2.83
   78    6    0   397.42    2.28
   79    6    0   398.91    2.20
   80    6    0   398.61    2.03
   81    6    0   399.66    2.22
   82    6    0   405.59    2.71
   83    6    0   404.56    2.58
   84    6    0   401.93    2.19
   85    6    0   396.66    2.51
   86    6    0   402.05    2.72
   87    6    0   401.75    2.08
   88    6    0   397.93    2.87
   89    6    0   403.88    2.13
   90    6    0   403.50    2.45
   91    6    0   398.88    2.05
   92    6    0   395.90    2.58
   93    6    0   405.99    2.08
   94    6    0   401.49    2.67
   95    6    0   399.50    2.54
   96    6   99     0.00    0.00
   97    6   99     0.00    0.00
   98    6   99     0.00    0.00
   99    6   99     0.00    0.00
  100    6   99     0.00    0.00
  101    6   99     0.00    0.00
  102    6   99     0.00    0.00
  103    6   99     0.00    0.00
  104    6   99     0.00    0.00
  105    6   99     0.00    0.00
  106    6   99     0.00    0.00
  107    6   99     0.00    0.00
  108    6   99     0.00    0.00
  109    6   99     0.00    0.00
  110    6   99     0.00    0.00
  111    6   99     0.00    0.00
  112    6   99     0.00    0.00
  113    6   99     0.00    0.00
  114    6   99     0.00    0.00
  115    6   99     0.00    0.00
  116    6   99     0.00    0.00
  117    6   99     0.00    0.00
  118    6   99     0.00    0.00
  119    6   99     0.00    0.00
  120    6   99     0.00    0.00
  121    6   99     0.00    0.00
  122    6   99     0.00    0.00
  123    6   99     0.00    0.00
  124    6   99     0.00    0.00
  125    6   99     0.00    0.00
  126    6   99     0.00    0.00
  127    6   99     0.00    0.00
    0    7   99     0.00    0.00
    1    7   99     0.00    0.00
    2    7   99     0.00    0.00
    3    7   99     0.00    0.00
    4    7   99     0.00    0.00
    5    7   99     0.00    0.00
    6    7   99     0.00    0.00
    7    7   99     0.00    0.00
    8    7   99     0.00    0.00
    9    7   99     0.00    0.00
   10    7   99     0.00    0.00
   11    7   99     0.00    0.00
   12    7   99     0.00    0.00
   13    7   99     0.00    0.00
   14    7   99     0.00    0.00
   15    7   99     0.00    0.00
   16    7   99     0.00    0.00
   17    7   99     0.00    0.00
   18    7   99     0.00    0.00
   19    7   99     0.00    0.00
   20    7   99     0.00    0.00
   21    7   99     0.00    0.00
   22    7   99     0.00    0.00
   23    7   99     0.00    0.00
   24    7   99     0.00    0.00
   25    7   99     0.00    0.00
   26    7   99     0.00    0.00
   27    7   99     0.00    0.00
   28    7   99     0.00    0.00
