# Average slewing corrections obtained with run 12995.
# Channels 456 458 688 689 860 862 896 898 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
907     0    0      0
908     -0.03482	   13.68      0.4442
909     0    0      0
910     -0.04189    8.21      1.8425
911     0    0      0
912     -0.03482	   13.68      0.4442
913     0    0      0
914     -0.04189    8.21      1.8425
915     0    0      0
916     -0.03482	   13.68      0.4442
917     0    0      0
918     -0.04189    8.21      1.8425
919     0    0      0
920     -0.03482	   13.68      0.4442
921     0    0      0
922     -0.04189    8.21      1.8425
923     0    0      0
924     -0.03482	   13.68      0.4442
925     0    0      0
926     -0.04189    8.21      1.8425
927     0    0      0
928     -0.03482	   13.68      0.4442
929     0    0      0
930     -0.04189    8.21      1.8425
931     0    0      0
932     -0.03482	   13.68      0.4442
933     0    0      0
934     -0.04189    8.21      1.8425
935     0    0      0
936     -0.03482	   13.68      0.4442
937     0    0      0
938     -0.04189    8.21      1.8425
939     0    0      0
940     -0.03482	   13.68      0.4442
941     0    0      0
942     -0.04189    8.21      1.8425
943     0    0      0
944     -0.03482	   13.68      0.4442
945     0    0      0
946     -0.04189    8.21      1.8425
947     0    0      0
948     -0.03482	   13.68      0.4442
949     0    0      0
950     -0.04189    8.21      1.8425
951     0    0      0
952     -0.03482	   13.68      0.4442
953     0    0      0
954     -0.04189    8.21      1.8425
955     0    0      0
956     -0.03482	   13.68      0.4442
957     0    0      0
958     -0.04189    8.21      1.8425
959     0    0      0
960     -0.03482	   13.68      0.4442
961     0    0      0
962     -0.04189    8.21      1.8425
963     0    0      0
964     -0.03482	   13.68      0.4442
965     0    0      0
966     -0.04189    8.21      1.8425
967     0    0      0
968     -0.03482	   13.68      0.4442
969     0    0      0
970     -0.04189    8.21      1.8425
971     0    0      0
972     -0.03482	   13.68      0.4442
973     0    0      0
974     -0.04189    8.21      1.8425
975     0    0      0
976     -0.03482	   13.68      0.4442
977     0    0      0
978     -0.04189    8.21      1.8425
979     0    0      0
980     -0.03482	   13.68      0.4442
981     0    0      0
