# Generated with run 8511, valid from the start of 2018 till run 8622.
# Stretching values of FE thresholds for channels with ROID 576-608
# found wrong and fixed from run 8623.
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
247 	 14.1079 	 18.1079 	 0.191052 	 -0.284013
248 	 13.6224 	 17.6224 	 0.209102 	 -0.327415
249 	 13.5436 	 17.5436 	 0.186782 	 -0.270172
250 	 13.3844 	 17.3844 	 0.257058 	 -0.381411
251 	 13.8305 	 17.8305 	 0.184812 	 -0.286407
252 	 13.6654 	 17.6654 	 0.195345 	 -0.325011
253 	 13.2644 	 17.2644 	 0.209055 	 -0.313779
254 	 13.883 	 17.883 	 0.20461 	 -0.299
255 	 13.6546 	 17.6546 	 0.191811 	 -0.323402
256 	 13.8363 	 17.8363 	 0.236316 	 -0.303416
257 	 13.8097 	 17.8097 	 0.172137 	 -0.28679
258 	 13.5989 	 17.5989 	 0.198381 	 -0.31891
259 	 13.7439 	 17.7439 	 0.178145 	 -0.29562
260 	 13.9616 	 17.9616 	 0.195199 	 -0.263786
261 	 13.6037 	 17.6037 	 0.221359 	 -0.304145
262 	 13.7873 	 17.7873 	 0.17772 	 -0.272609
263 	 13.9594 	 17.9594 	 0.169345 	 -0.245581
264 	 13.4048 	 17.4048 	 0.184584 	 -0.266182
265 	 12.7021 	 16.7021 	 0.234308 	 -0.310757
266 	 12.8318 	 16.8318 	 0.247879 	 -0.313729
267 	 12.6274 	 16.6274 	 0.231234 	 -0.343306
268 	 12.6543 	 16.6543 	 0.278518 	 -0.350503
269 	 12.7099 	 16.7099 	 0.259869 	 -0.343137
270 	 12.953 	 16.953 	 0.258679 	 -0.326766
271 	 12.8388 	 16.8388 	 0.228648 	 -0.300941
272 	 13.0977 	 17.0977 	 0.299473 	 -0.371918
273 	 13.3369 	 17.3369 	 0.18877 	 -0.29313
274 	 13.3492 	 17.3492 	 0.226767 	 -0.317851
275 	 13.6382 	 17.6382 	 0.189455 	 -0.297842
276 	 13.4716 	 17.4716 	 0.217365 	 -0.34428
277 	 13.1247 	 17.1247 	 0.194786 	 -0.313876
278 	 13.0873 	 17.0873 	 0.23819 	 -0.327689
279 	 13.4151 	 17.4151 	 0.270541 	 -0.355823
280 	 12.6022 	 16.6022 	 0.0704027 	 -0.324088
281 	 13.1127 	 17.1127 	 0.311836 	 -0.452993
282 	 13.3125 	 17.3125 	 0.107423 	 -0.380646
283 	 13.0627 	 17.0627 	 0.114321 	 -0.288304
284 	 13.5554 	 17.5554 	 0.126763 	 -0.358623
285 	 13.1719 	 17.1719 	 -0.00713724 	 -0.131022
286 	 13.0933 	 17.0933 	 -0.00720854 	 -0.242379
287 	 13.571 	 17.571 	 0.163971 	 -0.311921
288 	 13.0506 	 17.0506 	 0.339291 	 -0.49378
289 	 12.7304 	 16.7304 	 0.263477 	 -0.38739
290 	 12.6668 	 16.6668 	 0.278137 	 -0.404098
291 	 12.5199 	 16.5199 	 0.361278 	 -0.562049
292 	 12.3176 	 16.3176 	 0.271067 	 -0.488925
293 	 12.9482 	 16.9482 	 0.290733 	 -0.502641
294 	 12.413 	 16.413 	 0.265458 	 -0.443773
295 	 12.6446 	 16.6446 	 0.25124 	 -0.423179
296 	 14.0045 	 18.0045 	 0.178694 	 -0.347652
297 	 13.9899 	 17.9899 	 0.188643 	 -0.299987
298 	 13.9938 	 17.9938 	 0.227956 	 -0.311246
299 	 13.7424 	 17.7424 	 0.206316 	 -0.364969
300 	 14.039 	 18.039 	 0.18018 	 -0.328044
301 	 13.7028 	 17.7028 	 0.138839 	 -0.334362
302 	 13.6463 	 17.6463 	 0.24415 	 -0.359462
303 	 13.6792 	 17.6792 	 0.199711 	 -0.330778
304 	 13.2063 	 17.2063 	 0.230038 	 -0.384178
305 	 13.6481 	 17.6481 	 0.210234 	 -0.359341
306 	 13.9057 	 17.9057 	 0.21942 	 -0.339598
307 	 14.0779 	 18.0779 	 0.191421 	 -0.329641
308 	 13.3691 	 17.3691 	 0.246053 	 -0.394736
309 	 13.6959 	 17.6959 	 0.231426 	 -0.371995
310 	 13.4641 	 17.4641 	 0.108529 	 -0.284585
311 	 13.4891 	 17.4891 	 0.19184 	 -0.348133
312 	 13.4853 	 17.4853 	 0.220906 	 -0.346752
313 	 13.6389 	 17.6389 	 0.235844 	 -0.33471
314 	 14.1398 	 18.1398 	 0.129754 	 -0.270771
315 	 14.4766 	 18.4766 	 0.150295 	 -0.300279
316 	 14.1465 	 18.1465 	 0.182569 	 -0.304045
317 	 14.1458 	 18.1458 	 0.232662 	 -0.304346
318 	 14.2715 	 18.2715 	 0.168502 	 -0.25776
319 	 13.7434 	 17.7434 	 0.210856 	 -0.289893
320 	 13.6187 	 17.6187 	 0.221956 	 -0.301338
321 	 13.8136 	 17.8136 	 0.206567 	 -0.288424
322 	 13.808 	 17.808 	 0.217964 	 -0.313425
323 	 13.3303 	 17.3303 	 0.19822 	 -0.314545
324 	 13.4159 	 17.4159 	 0.259705 	 -0.335217
325 	 13.7345 	 17.7345 	 0.224223 	 -0.311545
326 	 13.8951 	 17.8951 	 0.201861 	 -0.313994
327 	 14.1667 	 18.1667 	 0.13897 	 -0.222185
328 	 13.9203 	 17.9203 	 0.179011 	 -0.23739
329 	 13.7702 	 17.7702 	 0.150867 	 -0.227921
330 	 13.9866 	 17.9866 	 0.189998 	 -0.246785
331 	 14.2668 	 18.2668 	 0.147719 	 -0.236164
332 	 14.0187 	 18.0187 	 0.184822 	 -0.238631
333 	 13.7365 	 17.7365 	 0.144893 	 -0.244036
334 	 13.6384 	 17.6384 	 0.177804 	 -0.248275
335 	 13.3186 	 17.3186 	 0.215567 	 -0.319933
336 	 13.7876 	 17.7876 	 0.232345 	 -0.307756
337 	 13.816 	 17.816 	 0.200299 	 -0.2727
338 	 14.1309 	 18.1309 	 0.189106 	 -0.292259
339 	 13.6157 	 17.6157 	 0.20098 	 -0.284848
340 	 13.6886 	 17.6886 	 0.233205 	 -0.332584
341 	 13.6364 	 17.6364 	 0.21068 	 -0.280535
342 	 13.6794 	 17.6794 	 0.198089 	 -0.329247
343 	 14.0263 	 18.0263 	 0.150128 	 -0.243935
344 	 14.2222 	 18.2222 	 0.208028 	 -0.309557
345 	 14.2269 	 18.2269 	 0.245382 	 -0.300025
346 	 13.7626 	 17.7626 	 0.21454 	 -0.288562
347 	 14.5208 	 18.5208 	 0.226612 	 -0.340664
348 	 13.8458 	 17.8458 	 0.242009 	 -0.335307
349 	 13.6386 	 17.6386 	 0.244862 	 -0.329365
350 	 13.5815 	 17.5815 	 0.272633 	 -0.358644
351 	 14.7391 	 18.7391 	 0.214674 	 -0.538311
352 	 14.4449 	 18.4449 	 0.290982 	 -0.338793
353 	 14.3535 	 18.3535 	 0.206723 	 -0.31126
354 	 14.8071 	 18.8071 	 0.200699 	 -0.287263
355 	 14.2775 	 18.2775 	 0.258877 	 -0.271423
356 	 14.6119 	 18.6119 	 0.226335 	 -0.316429
357 	 14.5197 	 18.5197 	 0.236009 	 -0.350194
358 	 14.4821 	 18.4821 	 0.270266 	 -0.339428
359 	 15.0004 	 19.0004 	 0.192862 	 -0.248723
360 	 13.2579 	 17.2579 	 0.22213 	 -0.31508
361 	 13.5418 	 17.5418 	 0.177387 	 -0.275108
362 	 13.287 	 17.287 	 0.245089 	 -0.326108
363 	 13.3687 	 17.3687 	 0.228751 	 -0.296196
364 	 13.4256 	 17.4256 	 0.255929 	 -0.344148
365 	 13.2694 	 17.2694 	 0.241885 	 -0.342054
366 	 13.1014 	 17.1014 	 0.229486 	 -0.313296
367 	 13.335 	 17.335 	 0.23757 	 -0.229738
368 	 13.4673 	 17.4673 	 0.174443 	 -0.435997
369 	 13.6412 	 17.6412 	 0.278799 	 -0.497203
370 	 13.6146 	 17.6146 	 0.257334 	 -0.423903
371 	 13.0776 	 17.0776 	 0.316834 	 -0.550357
372 	 13.7216 	 17.7216 	 0.268985 	 -0.359153
373 	 13.4978 	 17.4978 	 0.465965 	 -0.727191
374 	 13.3919 	 17.3919 	 0.397454 	 -0.659121
375 	 13.6966 	 17.6966 	 0.211573 	 -0.386492
376 	 13.152 	 17.152 	 0.139973 	 -0.343491
377 	 12.8189 	 16.8189 	 0.0970345 	 -0.280795
378 	 13.0441 	 17.0441 	 0.117828 	 -0.273773
379 	 12.9141 	 16.9141 	 0.15656 	 -0.330245
380 	 13.5667 	 17.5667 	 0.171905 	 -0.284972
381 	 13.1945 	 17.1945 	 0.0412414 	 -0.208258
382 	 13.1839 	 17.1839 	 0.0790178 	 -0.272925
383 	 13.6015 	 17.6015 	 0.0564273 	 -0.274587
384 	 14.1227 	 18.1227 	 0.109145 	 -0.333374
385 	 13.9528 	 17.9528 	 0.179811 	 -0.31086
386 	 13.8053 	 17.8053 	 0.198881 	 -0.308059
387 	 13.775 	 17.775 	 0.113201 	 -0.278879
388 	 13.7873 	 17.7873 	 0.255742 	 -0.389559
389 	 13.9773 	 17.9773 	 0.128427 	 -0.300274
390 	 13.7506 	 17.7506 	 0.244913 	 -0.343573
391 	 13.9289 	 17.9289 	 0.14853 	 -0.272217
392 	 13.5891 	 17.5891 	 0.18584 	 -0.269884
393 	 14.03 	 18.03 	 0.183822 	 -0.260008
394 	 13.7236 	 17.7236 	 0.203267 	 -0.276994
395 	 13.4978 	 17.4978 	 0.224399 	 -0.334266
396 	 13.9425 	 17.9425 	 0.157306 	 -0.22923
397 	 14.1519 	 18.1519 	 0.115785 	 -0.230672
398 	 13.9568 	 17.9568 	 0.119659 	 -0.201788
399 	 13.7311 	 17.7311 	 0.192677 	 -0.272785
400 	 14.2988 	 18.2988 	 0.252701 	 -0.320157
401 	 14.7004 	 18.7004 	 0.254009 	 -0.321443
402 	 14.4494 	 18.4494 	 0.238017 	 -0.31732
403 	 14.2756 	 18.2756 	 0.230668 	 -0.262244
404 	 14.406 	 18.406 	 0.261506 	 -0.308758
405 	 14.4678 	 18.4678 	 0.247021 	 -0.292429
406 	 14.4363 	 18.4363 	 0.245949 	 -0.302233
